district_id	lg_id	ward_name	party_name	name
LK-11	LG-11001	None	SLFP	Mohammad Nazim Nawazia Begum
LK-11	LG-11001	None	SLFP	Mohammad Nazim Nawazia Begum
LK-11	LG-11002	2-Wadulla	IG1	Mohamad Jamaldeen Mohamad Naleem
LK-11	LG-11002	2-Wadulla	SEP	Weerasingha Arachchige Sunil
LK-11	LG-11004	16-Walpola	JJB	Sunil Liyanage
LK-11	LG-11004	22-Pothuarawa	JSP	Chinthaka Jayasena
LK-11	LG-11008	8-Thalawathugoda	JSP	Chinthaka Jayasena
LK-11	LG-11004	None	JSP	P.R.Bindumathi
LK-11	LG-11008	10-Depanama	JSP	P.R.Bindumathi
LK-11	LG-11004	None	JSP	W.A.Vipula
LK-11	LG-11008	14-Makumbura	JSP	W.A.Vipula
LK-11	LG-11004	None	UPP	Periyasami Sudarshan
LK-11	LG-11006	8-Weragolla	IG1	Muniyandi Ravi
LK-11	LG-11008	None	JSP	Murugan Mogana
LK-11	LG-11009	None	LJP	Kannan Indra Devi
LK-11	LG-11010	None	FSP	Kannan Indra Devi
LK-11	LG-11012	8-Bodhirajapura	IG1	Lagamuwa Hendeniye Pushpa Rajapaksha
LK-11	LG-11013	14-Kesbewa	SLPP	Yapa Mudiyanselage Jayarathna
LK-12	LG-12008	10 -	JSP	Murugan Mogana
LK-12	LG-12001	27 -	IG8	Panambarage Ashen Nirmal Fernando
LK-12	LG-12001	None	IG9	Panambarage Ashen Nirmal Fernando
LK-12	LG-12005	16 -	NLNP	Elibichchi Kankanamalage Indra Kanthi
LK-12	LG-12005	17 -	SLFP	Elibichchi Kankanamalage Indra Kanthi
LK-12	LG-12005	18 -	NLNP	Hetti Achchi Kalu Aggalage Layan Nilush Hettiarachchi
LK-12	LG-12005	None	FPF	Hetti Achchi Kalu Aggalage Layan Nilush Hettiarachchi
LK-12	LG-12008	None	FPF	Kusum Sujeewani Costha
LK-12	LG-12018	8-Peliyagoda Gangabada East	FPF	Kusum Sujeewani Costha
LK-12	LG-12008	None	UNFF	Himashi Dilsara Ponnamperuma
LK-12	LG-12013	None	NLNP	Liyanage Chandrika Liyanage
LK-12	LG-12016	None	FPF	Rathnayaka Mudiyanselage Gunarathna
LK-12	LG-12018	5-Rohana Wihara Place	AJP	Weerapurage Wasantha Kumara
LK-12	LG-12018	6-Meegahawaththa South	AJP	Wanigasundara Mudiyanselage Samarasingha
LK-12	LG-12018	None	AJP	Arachchi Mudiyanselage Upul Saman Kumara
LK-12	LG-12018	None	AJP	Peradeniye Gasweda Gedara Thissa
LK-12	LG-12019	None	JJB	Herath Mudiyanselage Karunarathna
LK-13	LG-13003	20 -	JSP	Muniyandi Ravi
LK-13	LG-13001	None	IG2	Manna Marakkalage Lakshman Cooray
LK-13	LG-13003	None	SJB	Manna Marakkalage Lakshman Cooray
LK-13	LG-13003	None	JSP	Dona Chandrika Nayomi Nanayakkara
LK-13	LG-13003	None	JSP	Dona Chandrika Nayomi Nanayakkara
LK-13	LG-13004	7 -	IG1	Kahawalage Pasindu Rukmal Dharmathilaka
LK-13	LG-13004	None	NLNP	Kahawalage Pasindu Rukmal Dharmathilaka
LK-13	LG-13004	None	NDF	Wathukarage Renuka Damayanthi Karuna
LK-13	LG-13004	None	NDF	Wathukarage Renuka Damayanthi Karuna
LK-13	LG-13006	None	FSP	Palitha Kalyanapriya Ranasinghe
LK-13	LG-13006	None	FSP	Palitha Kalyanapriya Ranasinghe
LK-13	LG-13008	None	FSP	Koralage Siyantha Kumarasiri Thisera
LK-13	LG-13008	None	FSP	Koralage Siyantha Kumarasiri Thisera
LK-13	LG-13009	18 -	SLPP	Pattidurage Nilantha Chandralal
LK-13	LG-13009	19 -	SLPP	Pattidurage Nilantha Chandralal
LK-13	LG-13010	None	SJB	Pasquel Ponsekage Dayawathie Ponseka
LK-13	LG-13010	None	SJB	Pasquel Ponsekage Dayawathie Ponseka
LK-13	LG-13013	6 -	SJB	Samaraweera Mudalige Gemunu Wijegunarathne
LK-13	LG-13013	7 -	SJB	Samaraweera Mudalige Gemunu Wijegunarathne
LK-13	LG-13016	10 -	SLFP	Bellanthudawa Arachchige Nuwan Kanchana
LK-13	LG-13016	9 -	SLFP	Bellanthudawa Arachchige Nuwan Kanchana
LK-13	LG-13017	None	FSP	Ekanayaka Mudiyanselage Mahinda
LK-21	LG-21006	19-Suduhumpola	AJP	Weerapurage Wasantha Kumara
LK-21	LG-21006	18-Katukele	AJP	Wanigasundara Mudiyanselage Samarasingha
LK-21	LG-21006	None	AJP	Arachchi Mudiyanselage Upul Saman Kumara
LK-21	LG-21011	11-Wejyasrigama	AJP	Peradeniye Gasweda Gedara Thissa
LK-21	LG-21001	3-Naranwala	JJB	Ekanayake Mudiyanselage Thissa Ekanayake
LK-21	LG-21010	12-Poddalgoda	SJB	Ekanayake Mudiyanselage Thissa Ekanayake
LK-21	LG-21002	None	IG1	Dissanayake Mudiyanselage Bandula Dissanayake
LK-21	LG-21006	8-Mapanawathura	NLNP	Egodagedara Hasitha Sandaruwan Wijebandara
LK-21	LG-21017	18-Pallegama	UNFF	Egodagedara Hasitha Sandaruwan Wijebandara
LK-21	LG-21006	None	AJP	Niranjala Kumari Gamagedara
LK-21	LG-21008	None	IG1	Egoda Gedara Champa
LK-21	LG-21014	6-Udawela	UNFF	Egoda Gedara Champa
LK-21	LG-21009	2-Himbutuwa	UNA	Herath Mudiyanselage Janaka Bandara Herath
LK-21	LG-21011	21-Degaldoruwa	AJP	Sewanu Nagaraja Suresh Kumar
LK-21	LG-21014	None	FPF	Dissanayaka Mudiyanselage Muthubanda
LK-21	LG-21016	13-Ambakka	SLPP	Rathnayake Mudiyanselage Nishantha Rathnayake
LK-21	LG-21016	None	FPF	Wickramasinghe Mudiyanselage Indrani Wickramasinghe
LK-21	LG-21016	None	FSP	Herath Mudiyanselage Sarath Bandara
LK-21	LG-21019	None	SLPP	Rathnayaka Mudiyanselage Wijerathna
LK-21	LG-21012	None	UNP	Dissanayaka Mudiyanselage Wijerathna
LK-21	LG-21013	None	SLFP	Rathnayake Mudiyanselage Rathnayake
LK-21	LG-21017	25-Mawathura	SLPP	Rathnayake Mudiyanselage Rathnayake
LK-21	LG-21002	8-Udahigulwala	SLFP	Herath Mudiyanselage Gamini Herath
LK-21	LG-21010	None	IG1	Herath Mudiyanselage Gamini Herath
LK-21	LG-21013	16-Pollwatta	SJB	Herath Mudiyanselage Gamini Herath
